StepsInEval,TrajsInEval,CumEvalTime,CumTrainTime,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,q1LossAverage,q1LossStd,q1LossMedian,q1LossMin,q1LossMax,q2LossAverage,q2LossStd,q2LossMedian,q2LossMin,q2LossMax,piLossAverage,piLossStd,piLossMedian,piLossMin,piLossMax,q1GradNormAverage,q1GradNormStd,q1GradNormMedian,q1GradNormMin,q1GradNormMax,q2GradNormAverage,q2GradNormStd,q2GradNormMedian,q2GradNormMin,q2GradNormMax,piGradNormAverage,piGradNormStd,piGradNormMedian,piGradNormMin,piGradNormMax,q1Average,q1Std,q1Median,q1Min,q1Max,q2Average,q2Std,q2Median,q2Min,q2Max,piMuAverage,piMuStd,piMuMedian,piMuMin,piMuMax,piLogStdAverage,piLogStdStd,piLogStdMedian,piLogStdMin,piLogStdMax,qMeanDiffAverage,qMeanDiffStd,qMeanDiffMedian,qMeanDiffMin,qMeanDiffMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax
10000,50,9453.4394967556,0.0006742477416992188,0,9453.440171003342,80,0,0,nan,nan,0.0,0.0,200.0,0.0,200.0,200,200,-27.681447294493406,6.255020402724953,-28.695480649033705,-37.401046084458066,-19.858804172924046,200.0,0.0,200.0,200,200,-10.695451987274039,2.2258072689178254,-10.914981224501169,-14.425303068720277,-7.842547679739431,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,50,20781.461750984192,10028.138796806335,124,30809.600547790527,10000,50,0,0.9971940830675939,0.0,0.0,0.0,200.0,0.0,200.0,200,200,-26.874972484106625,8.83681630141615,-27.424759387350605,-40.33073766748021,-12.76377576336066,200.0,0.0,200.0,200,200,-11.558482461071058,2.362572123240411,-10.409862652306682,-15.159716836630492,-9.314857877076221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,50,29452.475097179413,17331.222861766815,249,46783.69795894623,20000,99,10000,1.369284525694983,1.369284525694983,256.0,128.0,200.0,0.0,200.0,200,200,-66.49482717925923,18.154339542396876,-61.91882484128922,-91.93133392621877,-39.331881431359406,200.0,0.0,200.0,200,200,-22.59864283587236,7.3947154734453076,-21.434719768845916,-32.21739453091056,-10.469958501529321,0.04245852175704203,0.3625896474499449,0.015740971080958843,0.0070925746113061905,9.983330726623535,0.04284158039614558,0.35921631363969425,0.0165365906432271,0.007645712234079838,9.904335975646973,-38.253553182888034,9.487676181463295,-42.51810073852539,-45.86308670043945,-4.693902492523193,2.3686140565774876,2.561723125658274,1.7428232490777336,0.059082661470268076,58.87232297700487,2.303586829234981,2.331023724490677,1.7620349373627684,0.05924988241236465,38.09392865316212,0.22750596883652574,0.22854285327007567,0.13356754038294189,0.05072745281980424,2.6797721724521413,36.761387,11.131727,41.079163,0.0532621,57.174072,36.76203,11.131515,41.076447,0.07091465,58.64985,-0.08826092,0.18969554,-0.03587807,-2.8909397,2.0621219,-0.1707025,0.04829035,-0.15674514,-1.32729,0.67086554,0.07007949245702476,0.02603776226202804,0.06934481859207153,0.030018705874681473,0.4327860474586487,0.3169363544207066,0.2564627042262225,0.2231810763478279,0.050876423716545105,0.9997000694274902
10000,50,39849.96205377579,27028.118086338043,374,66878.08014011383,30000,150,20000,1.031257920025858,1.031257920025858,256.0,170.66666666666666,200.0,0.0,200.0,200,200,-47.99622294117508,39.456582634892484,-53.031956545722906,-100.25960173575598,19.515596671872544,200.0,0.0,200.0,200,200,-19.6082027431232,12.766397089358463,-21.329513001429877,-35.92466118161661,2.2242900370478567,0.023699341281317173,0.017056810079454855,0.020204142667353153,0.009312208741903305,0.5002689361572266,0.022194216695148497,0.012463634737656399,0.01949511654675007,0.009443948045372963,0.2932523190975189,-31.903503256607056,4.833759151564407,-31.64019012451172,-41.480464935302734,-23.00437355041504,3.1794175540685554,3.183640928087796,2.490791258879539,0.3073022915782635,83.86237503179086,2.796072909921263,2.1061789032897362,2.2895473905429418,0.2999012751673909,39.065723704733955,0.14105683896157428,0.04961447974977016,0.13153963799027227,0.044449406964929584,0.48174118649231856,31.746296,7.2664886,32.359154,-3.4273086,50.355633,31.746561,7.2665887,32.358864,-3.6617737,50.239094,-0.18593113,0.9890134,-0.24698101,-8.417712,5.610245,-0.53849185,0.2490688,-0.49570644,-1.9825692,1.3255779,0.1216877436324954,0.025009054015923213,0.11686668917536736,0.0804719552397728,0.4470434784889221,0.0172752192794811,0.012625419372177711,0.012594770640134811,0.004506770521402359,0.050861723721027374
