StepsInEval,TrajsInEval,CumEvalTime,CumTrainTime,Iteration,CumTime (s),CumSteps,CumCompletedTrajs,CumUpdates,StepsPerSecond,UpdatesPerSecond,ReplayRatio,CumReplayRatio,q1LossAverage,q1LossStd,q1LossMedian,q1LossMin,q1LossMax,q2LossAverage,q2LossStd,q2LossMedian,q2LossMin,q2LossMax,piLossAverage,piLossStd,piLossMedian,piLossMin,piLossMax,q1GradNormAverage,q1GradNormStd,q1GradNormMedian,q1GradNormMin,q1GradNormMax,q2GradNormAverage,q2GradNormStd,q2GradNormMedian,q2GradNormMin,q2GradNormMax,piGradNormAverage,piGradNormStd,piGradNormMedian,piGradNormMin,piGradNormMax,q1Average,q1Std,q1Median,q1Min,q1Max,q2Average,q2Std,q2Median,q2Min,q2Max,piMuAverage,piMuStd,piMuMedian,piMuMin,piMuMax,piLogStdAverage,piLogStdStd,piLogStdMedian,piLogStdMin,piLogStdMax,qMeanDiffAverage,qMeanDiffStd,qMeanDiffMedian,qMeanDiffMin,qMeanDiffMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax
0,0,774.1514165401459,13518.79454946518,2499,14292.945966005325,100000,480,90000,7.564541573665996,7.564541573665996,256.0,230.4,0.029641517804656178,0.020380599267404945,0.025100714527070522,0.010897854343056679,0.5359908938407898,0.02995541830183938,0.01882395493711518,0.02585932705551386,0.01060571987181902,0.41214680671691895,1.6300767948881956,0.5335809966135577,1.6194218397140503,-0.12129560858011246,3.753012180328369,4.954760732318981,3.98223804943333,4.10765714276092,0.4867495873051599,108.3861642325579,5.415304894293894,4.498169234679053,4.469161692727209,0.5542814161855106,116.88896752898498,0.2968225493137841,0.08338436419501995,0.28125425751372857,0.14319310262662438,0.9316489227641821,-1.797597,7.22225,-2.985589,-36.02245,16.132353,-1.7975073,7.2218566,-2.992688,-36.063995,15.711378,-0.116086334,1.4539872,-0.1191012,-7.5085344,6.573443,-0.94591486,0.36196345,-0.9004236,-5.6161885,1.5365148,0.12250973899960518,0.015288132465840947,0.11960911005735397,0.08901344984769821,0.4306253492832184,0.0041543670874554664,0.000267659633374082,0.004084339365363121,0.0038014836609363556,0.004747707862406969
0,0,845.106278181076,14976.806296110153,2749,15821.91257429123,110000,520,100000,6.8586553043972165,6.8586553043972165,256.0,232.72727272727272,0.036760160734690725,0.020915625573233097,0.03096248023211956,0.011555582284927368,0.40293774008750916,0.036577765812631696,0.021807242139641927,0.03079368080943823,0.012609584257006645,0.4696458578109741,1.8445117543519474,0.8157835083664723,1.9021758437156677,-1.3637622594833374,4.795793056488037,6.252146836571154,5.416054329920917,5.004248516839718,0.6521036565495606,104.66885354715627,6.603280629277159,6.450420863466671,5.219499476368767,0.7085124089905104,174.2015961939343,0.28347334803014257,0.06881962157815441,0.27281834196750027,0.1376715991190293,0.7711949052304679,-2.0637481,10.135359,-2.416284,-39.71883,19.607803,-2.063268,10.135254,-2.4081545,-39.900715,20.07338,-0.26823258,1.4674044,-0.27651346,-9.253247,7.501317,-0.8826597,0.31954908,-0.8459751,-2.8405018,2.1221485,0.12442056156098842,0.013532366593766249,0.12209085002541542,0.0920923724770546,0.2385275512933731,0.005142606748547405,0.0003595857779095254,0.005274262512102723,0.004503204487264156,0.005600877106189728
0,0,908.2773532867432,16811.518161535263,2999,17719.795514822006,120000,600,110000,5.450447118399684,5.450447118399684,256.0,234.66666666666666,0.05255026448648423,0.03416380074683218,0.044793641194701195,0.013358046300709248,1.2472339868545532,0.04992744431728497,0.02985886438528683,0.04331783205270767,0.013214239850640297,0.8847364783287048,-0.23096149074241257,0.7812817913241625,-0.25685253739356995,-2.7731902599334717,3.017214059829712,10.475808644692824,9.837193580283579,7.773238046042921,0.5533419315691371,208.27773254354744,11.547642732837982,11.176895748030859,8.338081886948142,0.7788186681228125,200.18914586152587,0.3213398735636905,0.08835739492676951,0.3054561790761413,0.13577395535919476,0.9731056807081218,-0.0013144822,11.364441,-0.100913,-40.944546,18.221762,-0.0013441106,11.365218,-0.09593936,-41.073383,18.09245,-0.2320288,1.4701171,-0.23628303,-14.201889,10.98533,-0.889043,0.32024828,-0.8373045,-3.2908835,1.7609191,0.1374732847340405,0.01680497557343053,0.13511307537555695,0.10084693133831024,0.2980533540248871,0.0051401438292581585,8.48941111389124e-05,0.005129624856635928,0.004924925975501537,0.005408488214015961
0,0,988.5580825805664,18322.115474939346,3249,19310.673557519913,130000,640,120000,6.619897911419765,6.619897911419765,256.0,236.30769230769232,0.058780829362384976,0.03413557998430024,0.051822129637002945,0.01865411549806595,0.9437743425369263,0.0570190904321149,0.03201605234136095,0.05041647329926491,0.01755690760910511,0.9265829920768738,-0.915745952972534,0.7803080824945339,-0.9211909174919128,-3.7845187187194824,1.9505938291549683,12.876947247450946,10.772064781377559,10.122792765808185,0.9536971507486485,212.05324750165298,14.442308978780735,13.529812827309595,10.759762773538384,0.9112315755160125,298.4348082292521,0.388206304255304,0.10339799961589029,0.3710834252659838,0.1723042392721964,0.9373780659257223,0.7063631,11.652032,0.26346976,-39.981777,22.339903,0.70625335,11.652332,0.2687003,-39.98682,19.676336,-0.087790236,1.504,-0.12813735,-8.840004,8.477165,-0.84581584,0.31452185,-0.7949842,-2.9909117,1.087528,0.14621813254356383,0.013531394489319972,0.1443825140595436,0.11439895629882812,0.27259671688079834,0.0054033325984608385,9.067680181676465e-05,0.005399515386670828,0.005190509837120771,0.005649932194501162
0,0,1064.3101019859314,19787.29732823372,3499,20851.60743021965,140000,680,130000,6.825091354711776,6.825091354711776,256.0,237.71428571428572,0.06172997300885618,0.02970174919751791,0.05504249222576618,0.018612120300531387,0.6356779932975769,0.06014623396228999,0.028027988649329302,0.05402841418981552,0.019317876547574997,0.4564540386199951,-1.9844479971124325,0.8558447206196299,-1.9730699062347412,-5.658452033996582,1.1891911029815674,14.616270881307061,10.996302182211949,12.020504526910011,1.1818164150833208,198.2234273762673,16.207647507826486,13.566028876813357,12.48945021149893,1.2560530906783534,213.35672959878448,0.41378313228279723,0.1030338028352686,0.39963544280535246,0.18046725927613802,1.7676450110499866,1.780285,12.259125,1.555418,-40.528255,22.235275,1.7803736,12.2591715,1.5524411,-40.65769,21.895191,-0.08685453,1.5146856,-0.10590502,-8.681111,10.217544,-0.82471794,0.30728298,-0.7773161,-2.997051,1.1697532,0.15751005588769912,0.015994394821448883,0.15516406297683716,0.11875422298908234,0.32293376326560974,0.005736368522886187,0.00010870515683256573,0.005756590515375137,0.00542219216004014,0.005952784791588783
0,0,1132.1880378723145,21118.46666955948,3749,22250.654707431793,150000,720,140000,7.512192242979872,7.512192242979872,256.0,238.93333333333334,0.05350665718074888,0.0289833160191322,0.04726765118539333,0.017555931583046913,0.621249794960022,0.05220761252064258,0.02703550137505221,0.046600960195064545,0.016551531851291656,0.3913825452327728,-3.394114908706397,0.8450902889282877,-3.3926533460617065,-6.598463535308838,0.1153576448559761,14.143127823717828,10.82823021926111,11.554473136783198,1.0322258552643386,174.80926866253887,15.793058741853063,12.908659150269456,12.384695731562218,1.2619042048331428,182.61868973196516,0.3995639939549946,0.09464631620877281,0.3869253448356047,0.1806517894264424,1.2273651755671433,3.1361759,13.119023,2.4545722,-41.37315,23.209139,3.137042,13.119496,2.4496036,-41.320473,23.343355,-0.10274748,1.5056314,-0.11594519,-11.798373,8.379095,-0.83259517,0.3068339,-0.7818433,-3.1117928,2.197754,0.15268531552404166,0.017001114460699105,0.14990951865911484,0.11535626649856567,0.3028068244457245,0.005434608037909493,0.00016691348557233173,0.005453570745885372,0.005077648442238569,0.005815302021801472
0,0,1200.152696609497,23330.434990406036,3999,24530.587687015533,160000,800,150000,4.52086040552915,4.52086040552915,256.0,240.0,0.04774817634020001,0.02351288889023663,0.04249043017625809,0.01658320613205433,0.3593960404396057,0.04711361391339451,0.02225054135505976,0.04217265918850899,0.015190995298326015,0.336222767829895,-3.3853201472103596,0.8550867049900289,-3.392127275466919,-6.731647968292236,-0.10120938718318939,12.954081714928938,9.409504921479016,10.707748985141858,0.858607259346553,137.44203521763177,14.204859509899723,11.011333026240088,11.486212710165146,1.3244721295229334,131.73503524244947,0.37712363280684,0.0866245132245781,0.36455994659752244,0.18588545616126995,0.9860274761268837,3.2097087,13.574419,1.959125,-40.611065,24.587029,3.2094297,13.574194,1.9581839,-40.686676,24.471981,-0.09420126,1.5148326,-0.08573693,-12.725694,8.080265,-0.82491034,0.31004614,-0.7833462,-3.2511976,2.9689577,0.1486152648329735,0.016233919414981323,0.14572329074144363,0.11316049098968506,0.27840638160705566,0.004926159350387752,0.00013765860851909666,0.004945799009874463,0.004596127662807703,0.005207818932831287
0,0,1279.122715473175,24815.41439127922,4249,26094.537106752396,170000,840,160000,6.734100145847067,6.734100145847067,256.0,240.94117647058823,0.048391319520771504,0.02688163244326822,0.04300639219582081,0.0149550661444664,0.5353471636772156,0.04635213267952204,0.02378594477493967,0.04169472120702267,0.016104325652122498,0.4941420555114746,-3.8992270308196546,0.9461383874944087,-3.911572217941284,-8.083196640014648,-0.5462601780891418,14.347796727501583,10.547154883134679,11.835948017733216,1.0586571872575008,157.12389906710504,13.915027932728789,9.917973974421015,11.557838748552022,1.2386541803683453,154.39249466869825,0.3593874752586281,0.08537207959410066,0.3481907549461973,0.1582414805490379,1.0653754777065558,3.6943643,13.930507,3.055396,-40.84126,24.821514,3.6945083,13.930754,3.0472412,-40.628998,24.789928,-0.1110003,1.5285488,-0.11573003,-9.857133,6.8769255,-0.7984455,0.27690357,-0.7587985,-2.904158,1.6682057,0.15322503911331295,0.020426027910953378,0.14911726117134094,0.11257880181074142,0.3459390699863434,0.00531201806999743,0.00011654729298192051,0.005333949578925967,0.004977356176823378,0.005525097716599703
0,0,1350.6383786201477,26012.02312231064,4499,27362.661500930786,180000,880,170000,8.356950555910196,8.356950555910196,256.0,241.77777777777777,0.047159989413898436,0.028642305293258702,0.0418578814715147,0.015377803705632687,0.6468237042427063,0.04604149185679853,0.028021883312691506,0.04110042005777359,0.012104078195989132,0.6834351420402527,-3.694710315361619,0.9562591537438422,-3.7063663005828857,-7.603675365447998,0.2657758593559265,13.548280862147603,9.477734025375916,11.320710800399361,1.3728910379572836,109.95158568233084,13.742007929918257,9.663264666013735,11.400458991894123,1.1487907174138074,125.75479779199112,0.3323571762507132,0.07735526127879716,0.3206231904858078,0.1631603493668945,0.991239716048052,3.5057342,13.920063,1.5695218,-41.282692,24.446535,3.5056674,13.919428,1.5690241,-41.068478,24.49307,-0.041959733,1.5160013,-0.009155852,-10.91628,7.9656787,-0.8241197,0.27154052,-0.78712094,-2.7813106,1.8944923,0.14605885515809058,0.01614464755878605,0.14334949851036072,0.1049925833940506,0.266715407371521,0.004656652301503346,0.0002043722098319985,0.0046120265033096075,0.004262763541191816,0.0049813068471848965
0,0,1433.3176181316376,27446.679431676865,4749,28879.997049808502,190000,920,180000,6.970310543866496,6.970310543866496,256.0,242.52631578947367,0.04450622821887955,0.02642797392019648,0.03878836706280708,0.013721548952162266,0.5137511491775513,0.04427832858841866,0.024948481596322587,0.03940746560692787,0.011779994703829288,0.5390295386314392,-2.401685640393826,0.9395865454609149,-2.397758722305298,-6.140571594238281,1.2928935289382935,13.050596621677279,9.792821111937169,10.612030076407745,1.050845584416349,148.80471967634222,13.875151404819452,10.319236879571205,11.258486561083856,1.1056258070504983,125.8936020266131,0.3278979957715599,0.0755780670815512,0.3173686386610868,0.15980704177958915,1.0953918465922814,2.2737918,13.973776,-2.4725242,-44.802036,24.305485,2.2736542,13.973535,-2.4787216,-44.70053,24.262486,-0.10552049,1.5181159,-0.06442208,-9.772373,6.5258408,-0.8312443,0.2716858,-0.7980108,-2.4903703,1.6939384,0.14485349506810308,0.01707234092653315,0.14186666905879974,0.10988927632570267,0.3627183437347412,0.004433275012904778,0.00020706119715472544,0.004535226617008448,0.004069353919476271,0.004752121865749359
0,0,1507.9243018627167,29079.255778312683,4999,30587.1800801754,200000,1000,190000,6.125287813097733,6.125287813097733,256.0,243.2,0.04264082254646346,0.027954289279560462,0.036793943494558334,0.012492765672504902,0.5913112163543701,0.04182076521730051,0.02799439639554671,0.036357635632157326,0.013336708769202232,0.7940979599952698,-1.140866159549821,0.9632277178652605,-1.1383406519889832,-4.689884185791016,3.036979913711548,13.239620001568966,10.298127989398932,10.681189100315121,1.11744972666401,247.80523217488363,13.741733451067798,10.52943201061947,11.229238057878302,1.0501048731748222,243.37777997548008,0.33665162940295085,0.084037705053685,0.3239497222092713,0.14186327210168706,1.1134705303695052,0.9731268,14.529234,-5.6343336,-48.155266,25.741142,0.97266626,14.529093,-5.6435843,-47.838116,25.666197,-0.12182727,1.5356358,-0.080957375,-8.498124,6.6273994,-0.7947805,0.264828,-0.75494444,-2.9885416,1.4035082,0.15159699778705835,0.02486122688404661,0.14643310755491257,0.10827900469303131,0.5341959595680237,0.004547549429535866,9.0253916951577e-05,0.004554859595373273,0.004323243163526058,0.004700692370533943
0,0,1581.1650955677032,30424.344054222107,5249,32005.50914978981,210000,1040,200000,7.43445629487695,7.43445629487695,256.0,243.8095238095238,0.036123641389980914,0.025605962396693906,0.03108516987413168,0.011358303017914295,0.5281180739402771,0.03602006623968482,0.027715579298222142,0.030609375797212124,0.010194886475801468,0.5334835052490234,-0.35280640373528005,0.9829124976284536,-0.35655421018600464,-3.969735860824585,3.6779730319976807,11.93257169957428,9.033532591993499,9.663619625723202,0.8982580813746577,118.31560264117171,12.284158694697748,9.467435651160455,10.007955168645308,0.887200626848984,134.50508309102244,0.3083360925423567,0.08229748684390073,0.2937978441385767,0.15637424228072844,1.1733355632459783,0.21080595,15.44132,-6.97698,-51.099373,26.967852,0.21052474,15.441235,-6.968286,-51.235825,26.87188,-0.1332125,1.5482026,-0.15320063,-7.5542293,7.6524825,-0.7732149,0.25444296,-0.7325139,-2.6369076,1.004017,0.14096287602558732,0.022516014174637916,0.13577548414468765,0.09766879677772522,0.3572682738304138,0.004300597482128069,6.991910204958667e-05,0.0043113576248288155,0.0041076368652284145,0.004458045121282339
0,0,1641.7208187580109,31986.923168182373,5499,33628.643986940384,220000,1080,210000,6.399675965625561,6.399675965625561,256.0,244.36363636363637,0.04412302384320647,0.029380920804491357,0.03647788055241108,0.011457118205726147,0.5254483819007874,0.043824085589312015,0.030248635106171973,0.036462195217609406,0.011619784869253635,0.5444048643112183,-0.5490683068890183,1.010803368397912,-0.5433839559555054,-4.419672012329102,3.52156400680542,14.630589628552361,11.537899258511077,11.570476021206233,1.1008988973684477,152.05689993984444,15.028276912350572,11.766183214209928,12.031425072771832,1.0256658454579786,160.96042464447436,0.3377293712405964,0.09405103677882527,0.3212556189757766,0.15269905936588243,1.7051280956474517,0.37807083,15.789296,-6.4689045,-50.959003,27.521837,0.3776132,15.789266,-6.4650016,-50.677895,27.889557,-0.1862197,1.5395072,-0.25354162,-9.035627,7.186915,-0.7729211,0.24759518,-0.7401606,-2.7183251,1.6013973,0.14381165168508886,0.020225177218846785,0.13994714617729187,0.10377370566129684,0.3392798900604248,0.0042410703158937395,8.644303664023207e-05,0.0042486602906137705,0.004040050785988569,0.004418404772877693
0,0,1712.1010279655457,33448.961926460266,5749,35161.06295442581,230000,1120,220000,6.8397639552174425,6.8397639552174425,256.0,244.8695652173913,0.0513260164978914,0.0353933486836059,0.0428683590143919,0.012078842148184776,0.6352725028991699,0.05024057625550777,0.037438462757499257,0.04195859096944332,0.012282440438866615,0.6129958629608154,-0.7311933443873859,0.9626550946194842,-0.737790435552597,-3.9988818168640137,2.7487728595733643,17.09648156696482,13.30521187209444,13.530298621690415,1.1538347308180055,165.37124420705808,16.88059264611082,13.288763406856308,13.489116980907687,1.110882220478908,177.53787152947638,0.3906408629504213,0.1124934890892614,0.37077823485632844,0.16016824750380904,1.966498954976346,0.5381886,15.281374,-5.1085787,-54.07468,27.161945,0.53866976,15.282103,-5.1305356,-53.722015,27.249271,-0.1854433,1.5382088,-0.23391604,-9.741071,7.4394264,-0.7876415,0.24538471,-0.7561344,-2.6142557,1.7153908,0.15571848780289294,0.02239754828100155,0.15151304006576538,0.10783705115318298,0.38820821046829224,0.004238613037345931,9.925944975200279e-05,0.004234054125845432,0.004040141589939594,0.004484576638787985
